日期 ,时间 ,纬度 ,经度 ,海拔
17／10／05,93957,40/48.142,111.41.499,1070m
17／10／05,93958,40/48.148,111.41.496,1070m
17／10／05,93959,40/48.153,111.41.494,1070m
17／10／05,94000,40/48.158,111.41.492,1070m
17／10／05,94002,40/48.168,111.41.488,1070m
17／10／05,94002,40/48.168,111.41.488,1069m
17／10／05,94004,40/48.178,111.41.483,1069m
17／10／05,94004,40/48.178,111.41.483,1070m
17／10／05,94005,40/48.183,111.41.481,1069m
17／10／05,94006,40/48.189,111.41.478,1069m
17／10／05,94007,40/48.193,111.41.476,1069m
17／10／05,94008,40/48.198,111.41.473,1069m
17／10／05,94009,40/48.203,111.41.471,1070m
17／10／05,94010,40/48.207,111.41.469,1070m
17／10／05,94011,40/48.212,111.41.466,1070m
17／10／05,94012,40/48.216,111.41.464,1070m
17／10／05,94013,40/48.221,111.41.462,1070m
17／10／05,94014,40/48.225,111.41.460,1070m
17／10／05,94016,40/48.235,111.41.455,1071m
17／10／05,94016,40/48.235,111.41.455,1070m
17／10／05,94017,40/48.240,111.41.452,1071m
17／10／05,94019,40/48.250,111.41.447,1071m
17／10／05,94019,40/48.250,111.41.447,1071m
17／10／05,94020,40/48.255,111.41.445,1071m
17／10／05,94022,40/48.262,111.41.441,1071m
17／10／05,94022,40/48.262,111.41.441,1071m
17／10／05,94023,40/48.265,111.41.439,1071m
17／10／05,94024,40/48.268,111.41.438,1071m
17／10／05,94025,40/48.270,111.41.438,1071m
17／10／05,94026,40/48.272,111.41.438,1070m
17／10／05,94028,40/48.273,111.41.438,1070m
17／10／05,94029,40/48.273,111.41.438,1070m
17／10／05,94029,40/48.273,111.41.438,1070m
17／10／05,94030,40/48.273,111.41.438,1070m
17／10／05,94031,40/48.273,111.41.437,1070m
17／10／05,94032,40/48.273,111.41.437,1070m
17／10／05,94034,40/48.273,111.41.437,1070m
17／10／05,94034,40/48.273,111.41.437,1070m
17／10／05,94035,40/48.273,111.41.437,1070m
17／10／05,94036,40/48.273,111.41.437,1070m
17／10／05,94037,40/48.273,111.41.436,1070m
17／10／05,94038,40/48.273,111.41.436,1070m
17／10／05,94039,40/48.273,111.41.436,1070m
17／10／05,94040,40/48.273,111.41.436,1070m
17／10／05,94041,40/48.273,111.41.436,1070m
17／10／05,94042,40/48.273,111.41.435,1070m
17／10／05,94043,40/48.272,111.41.434,1069m
17／10／05,94044,40/48.270,111.41.433,1069m
17／10／05,94045,40/48.268,111.41.434,1068m
17／10／05,94046,40/48.266,111.41.436,1068m
17／10／05,94047,40/48.263,111.41.437,1067m
17／10／05,94048,40/48.260,111.41.439,1066m
17／10／05,94049,40/48.257,111.41.440,1065m
17／10／05,94050,40/48.254,111.41.442,1065m
17／10／05,94051,40/48.250,111.41.444,1064m
17／10／05,94052,40/48.247,111.41.445,1064m
17／10／05,94053,40/48.243,111.41.447,1063m
17／10／05,94054,40/48.240,111.41.448,1062m
17／10／05,94055,40/48.236,111.41.450,1062m
17／10／05,94056,40/48.232,111.41.451,1061m
17／10／05,94057,40/48.229,111.41.452,1060m
17／10／05,94058,40/48.226,111.41.453,1060m
17／10／05,94059,40/48.223,111.41.454,1059m
17／10／05,94100,40/48.220,111.41.454,1058m
17／10／05,94101,40/48.219,111.41.454,1058m
17／10／05,94102,40/48.218,111.41.454,1058m
17／10／05,94103,40/48.217,111.41.454,1057m
17／10／05,94104,40/48.216,111.41.453,1057m
17／10／05,94105,40/48.215,111.41.452,1056m
17／10／05,94106,40/48.214,111.41.451,1056m
17／10／05,94107,40/48.214,111.41.450,1055m
17／10／05,94108,40/48.213,111.41.449,1055m
17／10／05,94109,40/48.213,111.41.447,1055m
17／10／05,94110,40/48.212,111.41.445,1054m
17／10／05,94111,40/48.212,111.41.444,1054m
17／10／05,94112,40/48.211,111.41.442,1054m
17／10／05,94113,40/48.211,111.41.442,1053m
17／10／05,94115,40/48.211,111.41.441,1054m
17／10／05,94115,40/48.211,111.41.441,1054m
17／10／05,94116,40/48.211,111.41.441,1054m
17／10／05,94117,40/48.211,111.41.441,1054m
17／10／05,94118,40/48.211,111.41.441,1054m
17／10／05,94119,40/48.211,111.41.441,1054m
17／10／05,94120,40/48.210,111.41.440,1054m
17／10／05,94121,40/48.211,111.41.438,1054m
17／10／05,94123,40/48.212,111.41.430,1053m
17／10／05,94124,40/48.212,111.41.425,1053m
17／10／05,94124,40/48.212,111.41.425,1053m
17／10／05,94125,40/48.212,111.41.421,1053m
17／10／05,94126,40/48.211,111.41.417,1053m
17／10／05,94127,40/48.210,111.41.414,1052m
17／10／05,94128,40/48.208,111.41.412,1052m
17／10／05,94129,40/48.207,111.41.410,1052m
17／10／05,94130,
